,Name,Sponsor,City,State,Area,ZIP,Hardiness,address,lon,lat
162,Fred Hamilton Rhododendron Garden,NA,Hiawassee,GA,NA,30546,7a,"Hiawassee ,  GA",-83.7573948,34.9492586
163,Georgia Perimeter College Botanical Garden,Georgia Perimeter College,Decatur,GA,4,30030,7b,"Decatur ,  GA",-84.2963123,33.7748275
164,Woodlands Garden,NA,Decatur,GA,7,30030,7b,"Decatur ,  GA",-84.2963123,33.7748275
165,The State Botanical Garden of Georgia,University of Georgia,Athens,GA,313,30601,8a,"Athens ,  GA",-83.357567,33.9519347
166,University of Georgia Campus Arboretum,University of Georgia,Athens,GA,NA,30601,8a,"Athens ,  GA",-83.357567,33.9519347
167,Atlanta Botanical Garden,NA,Atlanta,GA,30,30301,8a,"Atlanta ,  GA",-84.3879824,33.7489954
168,Fernbank Science Center,NA,Atlanta,GA,NA,30301,8a,"Atlanta ,  GA",-84.3879824,33.7489954
169,Georgia Golf Hall of Fames Botanical Garden,NA,Augusta,GA,17,30901,8a,"Augusta ,  GA",-82.0105148,33.4734978
170,Thompson Mills Forest,NA,Braselton,GA,330,30517,8a,"Braselton ,  GA",-83.7626729,34.1092735
171,Columbus Botanical Gardens,NA,Columbus,GA,NA,31829,8a,"Columbus ,  GA",-84.9877094,32.4609764
172,Massee Lane Gardens,NA,Fort Valley,GA,9,31030,8a,"Fort Valley ,  GA",-83.8874084,32.5537585
173,Vines Botanical Gardens,NA,Loganville,GA,25,30052,8a,"Loganville ,  GA",-83.9007382,33.8389977
174,Waddell Barnes Botanical Gardens,Macon State College,Macon,GA,167,31201,8a,"Macon ,  GA",-83.6324022,32.8406946
175,Lockerly Arboretum,NA,Milledgeville,GA,50,31059,8a,"Milledgeville ,  GA",-83.2320991,33.0801429
176,Callaway Gardens,NA,Pine Mountain,GA,6500,31822,8a,"Pine Mountain ,  GA",-84.8540982,32.8648522
177,Coastal Georgia Botanical Gardens,University of Georgia Cooperative Extension Service,Savannah,GA,51,31401,8b,"Savannah ,  GA",-81.091203,32.0808989
178,Georgia Southern Botanical Garden,Georgia Southern University,Statesboro,GA,11,30458,8b,"Statesboro ,  GA",-81.7831674,32.4487876
179,Coastal Plain Research Arboretum,NA,Tifton,GA,38,31793,8b,"Tifton ,  GA",-83.5084973,31.4504629
180,Kaia Ranch Tropical Botanical Gardens,NA,Hana,HI,27,96713,10b,"Hana ,  HI",-155.988407,20.757508
181,Kahanu Garden,National Tropical Botanical Garden,Maui,HI,3,96713,10b,"Hana, HI",-155.988407,20.757508
182,Enchanting Floral Gardens of Kula Maui,NA,Kula,HI,8,96790,11b,"Kula ,  HI",-156.3269338,20.7909697
183,Keanae Arboretum,NA,Maui,HI,6,96790,11b,"Kula ,  HI",-156.3269338,20.7909697
184,Kula Botanical Garden,NA,Maui,HI,8,96790,11b,"Kula ,  HI",-156.3269338,20.7909697
185,Hawaii Tropical Botanical Garden,NA,Papaikou,HI,17,96781,11b,"Papaikou ,  HI",-155.0928124,19.7953889
186,Amy B. H. Greenwell Ethnobotanical Garden,Bishop Museum,Captain Cook,HI,15,96704,12a,"Captain Cook ,  HI",-155.9216667,19.4969444
187,Waimea Valley,NA,Haleiwa,HI,1800,96712,12a,"Haleiwa ,  HI",-158.1034112,21.5927614
188,Foster Botanical Garden,Honolulu Botanical Gardens,Honolulu,HI,13.5,96801,12a,"Honolulu ,  HI",-157.8583333,21.3069444
189,Kapiolani Community College Cactus Garden,Kapiolani Community College,Honolulu,HI,NA,96801,12a,"Honolulu ,  HI",-157.8583333,21.3069444
190,Liliuokalani Botanical Garden,Honolulu Botanical Gardens,Honolulu,HI,7.5,96801,12a,"Honolulu ,  HI",-157.8583333,21.3069444
191,Lyon Arboretum,NA,Honolulu,HI,200,96801,12a,"Honolulu ,  HI",-157.801539,21.332971
192,Allerton Garden,National Tropical Botanical Garden,Kauai,HI,80,96756,12a,"Lawai, HI",-159.502666,21.890388
193,McBryde Garden,National Tropical Botanical Garden,Kauai,HI,200,96756,12a,"Lawai, HI",-159.502666,21.890388
194,Moir Gardens,NA,Kauai,HI,35,96756,12a,"Koloa,HI",-159.460518,21.877488
195,Na Aina Kai Botanical Gardens,NA,Kauai,HI,240,96756,12a,"Kilauea,HI",-159.381445,22.21116
196,Olu Pua Botanical Garden and Plantation,NA,Kauai,HI,12.5,96756,12a,"Kalaheo,HI",-159.528605,21.925714
197,Pua Mau Place Arboretum and Botanical Garden,NA,Kawaihae,HI,45,96743,12a,"Kawaihae ,  HI",-155.8281882,20.0352881
198,Spirit of Aloha Oceanfront Botanical Garden,NA,Maui,HI,11,96708,12a,"Haiku,HI",-156.298079,20.7983626
199,Wahiawa Botanical Garden,Honolulu Botanical Gardens,Wahiawa,HI,27,96786,12a,"Wahiawa ,  HI",-158.0209227,21.50105
200,Kalopa State Recreation Area,NA,Hawaii (island),HI,600,96720,12b,"Honokaa,HI",-155.438426,20.037507
201,Manuka State Wayside Park,NA,Hawaii (island),HI,13.4,96720,12b,"Ocean View,HI",-155.819193,19.104859
202,Liliuokalani Park and Gardens,NA,Hilo,HI,24,96720,12b,"Hilo ,  HI",-155.0868193,19.7241106
203,Nani Mau Gardens,NA,Hilo,HI,20,96720,12b,"Hilo ,  HI",-155.0868193,19.7241106
204,University of Hawaii at Hilo Botanical Gardens,University of Hawaii at Hilo,Hilo,HI,NA,96720,12b,"Hilo ,  HI",-155.0868193,19.7241106
205,World Botanical Gardens,NA,Hilo,HI,210,96720,12b,"Hilo ,  HI",-155.0868193,19.7241106
206,Maui Nui Botanical Gardens,NA,Kahului,HI,7,96732,12b,"Kahului ,  HI",-156.4729469,20.8893351
207,Sadie Seymour Botanical Gardens,NA,Kailua-Kona,HI,1.5,96739,12b,"Kailua-Kona ,  HI",-155.9969261,19.639994
208,Hoomaluhia Botanical Garden,Honolulu Botanical Gardens,Kaneohe,HI,400,96744,12b,"Kaneohe ,  HI",-157.7973653,21.3996475
209,Limahuli Garden and Preserve,National Tropical Botanical Garden,Kauai,HI,17,96722,12b,"Hanalei,HI",-159.575801,22.219946
210,Hiiakas Healing Herb Garden,NA,Keaau,HI,1,96749,12b,"Keaau ,  HI",-155.0394139,19.6213287
211,Koko Crater Botanical Garden,Honolulu Botanical Gardens,Oahu,HI,60,96825,12b,"Hawaii Kai,HI",-157.677362,21.29365
212,Tropical Gardens of Maui,NA,Wailuku,HI,4,96793,12b,"Wailuku ,  HI",-156.5047222,20.8911111
213,Reiman Gardens,Iowa State University,Ames,IA,17,50010,5a,"Ames ,  IA",-93.6319131,42.0307812
214,University of Northern Iowa Teaching and Research Greenhouse,University of Northern Iowa,Cedar Falls,IA,NA,50613,5a,"Cedar Falls ,  IA",-92.4453161,42.5348993
215,Brenton Arboretum,NA,Dallas Center,IA,141,50063,5a,"Dallas Center ,  IA",-93.9611859,41.6843456
216,Dubuque Arboretum and Botanical Gardens,NA,Dubuque,IA,52,52001,5a,"Dubuque ,  IA",-90.6645718,42.5005583
217,Buxton Park Arboretum,NA,Indianola,IA,5.4,50125,5a,"Indianola ,  IA",-93.5574376,41.3580484
218,Iowa Arboretum,NA,Madrid,IA,415,50156,5a,"Madrid ,  IA",-93.8156689,41.8779511
219,Frontier Organic Research Farm Botanical Garden,NA,Norway,IA,1,52318,5a,"Norway ,  IA",-91.9215691,41.9027805
220,Forest Park Museum and Arboretum,NA,Perry,IA,17,50220,5a,"Perry ,  IA",-94.1071797,41.8385964
221,Cedar Valley Arboretum and Botanic Gardens,NA,Waterloo,IA,35,50701,5a,"Waterloo ,  IA",-92.3425775,42.492786
222,Crapo Park,NA,Burlington,IA,85,52601,5b,"Burlington ,  IA",-91.1128901,40.8076529
223,Bickelhaupt Arboretum,NA,Clinton,IA,14,52732,5b,"Clinton ,  IA",-90.1887379,41.8444735
224,Stampe Lilac Garden,NA,Davenport,IA,211,52801,5b,"Davenport ,  IA",-90.5776367,41.5236437
225,Vander Veer Botanical Park,NA,Davenport,IA,33,52801,5b,"Davenport ,  IA",-90.5776367,41.5236437
226,Arie den Boer Arboretum,NA,Des Moines,IA,1500,50301,5b,"Des Moines ,  IA",-93.6249593,41.5868353
227,Greater Des Moines Botanical Garden,NA,Des Moines,IA,14,50301,5b,"Des Moines ,  IA",-93.6249593,41.5868353
228,Lilac Arboretum and Childrens Forest,NA,Des Moines,IA,NA,50301,5b,"Des Moines ,  IA",-93.6249593,41.5868353
229,Muscatine Arboretum,NA,Muscatine,IA,12,52761,5b,"Muscatine ,  IA",-91.0432051,41.424473
